# BugBuster Current Measurement Log
# AD8411A supply: 5.0000 V
# Rsense: 100.000 mOhm  (gain=50.0)
# AD8411A IO_Block: 4 | DUT: BB IO_Block 1 (12.50 V)
# timestamp_unix,current_A,power_W
1780604050.841,1.972235739e-03,2.465295e-02
1780604050.903,1.972235739e-03,2.465295e-02
1780604050.999,2.003245056e-03,2.504056e-02
1780604051.020,2.003245056e-03,2.504056e-02
1780604051.088,2.003245056e-03,2.504056e-02
1780604051.151,2.003245056e-03,2.504056e-02
1780604051.167,2.003245056e-03,2.504056e-02
1780604051.229,1.962542534e-03,2.453178e-02
1780604051.340,1.962542534e-03,2.453178e-02
1780604051.359,1.962542534e-03,2.453178e-02
1780604051.418,1.962542534e-03,2.453178e-02
1780604051.535,1.993015409e-03,2.491269e-02
1780604051.566,1.993015409e-03,2.491269e-02
1780604051.617,1.993015409e-03,2.491269e-02
1780604051.667,1.993015409e-03,2.491269e-02
1780604051.754,1.939781010e-03,2.424726e-02
1780604051.777,1.939781010e-03,2.424726e-02
1780604051.869,1.939781010e-03,2.424726e-02
1780604051.938,1.939781010e-03,2.424726e-02
1780604051.956,1.952327788e-03,2.440410e-02
1780604052.020,1.952327788e-03,2.440410e-02
1780604052.075,1.952327788e-03,2.440410e-02
1780604052.143,1.952327788e-03,2.440410e-02
1780604052.170,1.952327788e-03,2.440410e-02
1780604052.281,1.966759562e-03,2.458449e-02
1780604052.352,1.966759562e-03,2.458449e-02
1780604052.389,1.966759562e-03,2.458449e-02
1780604052.441,1.966759562e-03,2.458449e-02
1780604052.495,1.959919930e-03,2.449900e-02
1780604052.567,1.959919930e-03,2.449900e-02
1780604052.622,1.959919930e-03,2.449900e-02
1780604052.671,1.959919930e-03,2.449900e-02
1780604052.751,1.933686435e-03,2.417108e-02
1780604052.770,1.933686435e-03,2.417108e-02
1780604052.873,1.933686435e-03,2.417108e-02
1780604052.894,1.933686435e-03,2.417108e-02
1780604053.067,1.964010298e-03,2.455013e-02
1780604053.097,1.964010298e-03,2.455013e-02
1780604053.153,1.964010298e-03,2.455013e-02
1780604053.200,1.964010298e-03,2.455013e-02
1780604053.275,1.943074167e-03,2.428843e-02
1780604053.347,1.943074167e-03,2.428843e-02
1780604053.391,1.943074167e-03,2.428843e-02
1780604053.417,1.943074167e-03,2.428843e-02
1780604053.488,1.945547760e-03,2.431935e-02
1780604053.556,1.945547760e-03,2.431935e-02
